file_path,releaseId,sbom_deps,graph_deps,dependencies_match
sbom/org/janusgraph/janusgraph/1.1.0-20240515-075548.3c1a40c/janusgraph-1.1.0-20240515-075548.3c1a40c-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240515-075548.3c1a40c,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240710-131218.1efb00a/janusgraph-1.1.0-20240710-131218.1efb00a-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240710-131218.1efb00a,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240710-131218.1efb00a/janusgraph-1.1.0-20240710-131218.1efb00a-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240710-131218.1efb00a,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240430-160352.20967f7/janusgraph-1.1.0-20240430-160352.20967f7-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240430-160352.20967f7,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240430-160352.20967f7/janusgraph-1.1.0-20240430-160352.20967f7-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240430-160352.20967f7,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240419-081236.0d601cf/janusgraph-1.1.0-20240419-081236.0d601cf-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240419-081236.0d601cf,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240419-081236.0d601cf/janusgraph-1.1.0-20240419-081236.0d601cf-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240419-081236.0d601cf,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240710-101044.86e0126/janusgraph-1.0.1-20240710-101044.86e0126-cyclonedx.xml,org.janusgraph:janusgraph:1.0.1-20240710-101044.86e0126,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240710-101044.86e0126/janusgraph-1.0.1-20240710-101044.86e0126-cyclonedx.json,org.janusgraph:janusgraph:1.0.1-20240710-101044.86e0126,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240729-091211.2297fde/janusgraph-1.1.0-20240729-091211.2297fde-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240729-091211.2297fde,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240729-091211.2297fde/janusgraph-1.1.0-20240729-091211.2297fde-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240729-091211.2297fde,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240821-072910.276b36c/janusgraph-1.1.0-20240821-072910.276b36c-cyclonedx.xml,org.janusgraph:janusgraph:1.1.0-20240821-072910.276b36c,23,3,False
sbom/org/janusgraph/janusgraph/1.1.0-20240821-072910.276b36c/janusgraph-1.1.0-20240821-072910.276b36c-cyclonedx.json,org.janusgraph:janusgraph:1.1.0-20240821-072910.276b36c,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240815-150153.8231588/janusgraph-1.0.1-20240815-150153.8231588-cyclonedx.json,org.janusgraph:janusgraph:1.0.1-20240815-150153.8231588,23,3,False
sbom/org/janusgraph/janusgraph/1.0.1-20240815-150153.8231588/janusgraph-1.0.1-20240815-150153.8231588-cyclonedx.xml,org.janusgraph:janusgraph:1.0.1-20240815-150153.8231588,23,3,False
